"Year","Header","Source","Url"
2014,"Биткоин курс к рублю 2014. Аналитика","www.slovo.org/ru/?gr=bitkoin-kurs-k-rublyu-2014-52146","http://www.slovo.org/ru/?gr=bitkoin-kurs-k-rublyu-2014-52146"
2014,"13 крупнейших падений курса Биткоина","bits.media/news/13-krupneyshikh-padeniy-kursa...","https://bits.media/news/13-krupneyshikh-padeniy-kursa-bitkoina/"
2014,"График биткоина к доллару - coinspot.io","coinspot.io/charts","https://coinspot.io/charts/"
2014,"Динамика биткоина к доллару на 2018 анализ в цифрах","mining-bitcoin.ru","https://mining-bitcoin.ru/news/dinamika-bitcoina-k-dollaru"
2014,"Биткоин 2018 - tutdenegki.com","tutdenegki.com/bitkoin-2018","http://tutdenegki.com/bitkoin-2018"
2014,"Биткоин кошельки - выбор надежных и проверенных Bitcoin ...","mining-cryptocurrency.ru/bitcoin-koshelki","https://mining-cryptocurrency.ru/bitcoin-koshelki/"
2014,"Сколько будет стоить биткоин: прогноз на 2020 год","prostocoin.com/blog/bitcoin2020","https://prostocoin.com/blog/bitcoin2020"
2014,"Центробанк России (ЦБ РФ) может изменить отношение к Биткоин ...","bits.media/news/tsentrobank-rossii-tsb-rf-mozhet...","https://bits.media/news/tsentrobank-rossii-tsb-rf-mozhet-izmenit-otnoshenie-k-bitkoin-uzhe-cherez-nedelyu/"
2014,"Динамика курса биткоина за все время: История Bitcoin с 2008 ...","great-world.ru/istoriya-bitkoina-grafik-kursa","http://great-world.ru/istoriya-bitkoina-grafik-kursa/"
2014,"Курс биткоина к доллару онлайн | Графики криптовалют в ...","форум-трейдеров.рф/bitcoin-online.php","http://xn----dtbfdbwspgnceulm.xn--p1ai/bitcoin-online.php"
2014,"Сколько будет стоить биткоин: прогноз на 2020 год","prostocoin.com/blog/bitcoin2020","https://prostocoin.com/blog/bitcoin2020"
2014,"Как заработать биткоин(bitcoin).Все виды заработка: 2014","bitcoinvslatium.blogspot.com/2014","http://bitcoinvslatium.blogspot.com/2014/"
2014,"заработок биткоин 2014 - YouTube","www.youtube.com/watch?v=MD8CdYxiPQg","https://www.youtube.com/watch?v=MD8CdYxiPQg"
2014,"биткоин 2014 - YouTube","www.youtube.com/watch?v=7f5pzh4w2YI","https://www.youtube.com/watch?v=7f5pzh4w2YI"
2014,"13 крупнейших падений курса Биткоина","bits.media/news/13-krupneyshikh-padeniy-kursa...","https://bits.media/news/13-krupneyshikh-padeniy-kursa-bitkoina/"
2014,"Цена на биткоин 2018 году обвалится? | CryptoMORE.io","cryptomore.io/tsena-na-bitkoin-2018-bitkoin","http://cryptomore.io/tsena-na-bitkoin-2018-bitkoin/"
2014,"Как заработать Биткоины без вложений: Как открыть кошелек ...","inbitco.blogspot.com/2014/03/bitcoin-blockchaininfo.html","http://inbitco.blogspot.com/2014/03/bitcoin-blockchaininfo.html"
2014,"Список биткоин-кранов на портале Bitcoincloudmining.center","bitcoincloudmining.center/bitkoin-krany","https://bitcoincloudmining.center/bitkoin-krany"
2014,"Биткоин. Прогноз на 2018 - bitcointalk.org","bitcointalk.org/index.php?topic=2633283.0","https://bitcointalk.org/index.php?topic=2633283.0"
2014,"Новые онлайн биткоин казино 2017 - БиткоинКазино.РФ","cryptocoincasino.online","http://cryptocoincasino.online/"
2014,"Биткоин курс к рублю 2014. Аналитика","www.slovo.org/ru/?gr=bitkoin-kurs-k-rublyu-2014-52146","http://www.slovo.org/ru/?gr=bitkoin-kurs-k-rublyu-2014-52146"
2014,"Динамика курса биткоина с графиком - Курс биткоина к рублю и ...","coinspot.io/charts","https://coinspot.io/charts/"
2014,"13 крупнейших падений курса Биткоина","bits.media/news/13-krupneyshikh-padeniy-kursa...","https://bits.media/news/13-krupneyshikh-padeniy-kursa-bitkoina/"
2014,"Динамика курса биткоина за все время: История Bitcoin с 2008 ...","great-world.ru/istoriya-bitkoina-grafik-kursa","http://great-world.ru/istoriya-bitkoina-grafik-kursa/"
2014,"Сколько будет стоить биткоин: прогноз на 2020 год","prostocoin.com/blog/bitcoin2020","https://prostocoin.com/blog/bitcoin2020"
2014,"Биткоин 2018 - tutdenegki.com","tutdenegki.com/bitkoin-2018","http://tutdenegki.com/bitkoin-2018"
2014,"Курс биткоина к доллару онлайн | Графики криптовалют в ...","форум-трейдеров.рф/bitcoin-online...","https://xn----dtbfdbwspgnceulm.xn--p1ai/bitcoin-online.php"
2014,"Курс Bitcoin (BTC) к рублю, к доллару и биткойну - онлайн ...","coincost.net/currency/bitcoin","http://coincost.net/currency/bitcoin"
2014,"Bitcoin, BTC - Курс биткоина к доллару, гривне, рублю, евро","maanimo.com/cryptocurrency/bitcoin","https://maanimo.com/cryptocurrency/bitcoin"
2014,"exmo.me","exmo.me/ru/trade","https://exmo.me/ru/trade"
2015,"Что такое Bitcoin и криптовалюты?","bits.media/chto-takoe-bitcoin","https://bits.media/chto-takoe-bitcoin/"
2015,"График биткоина к доллару - coinspot.io","coinspot.io/charts","https://coinspot.io/charts/"
2015,"Биткоин впервые с 2015 года ... - rbc.ru","www.rbc.ru/technology_and_media/02/01/2018/5a4...","https://www.rbc.ru/technology_and_media/02/01/2018/5a4aaec89a7947293ac3a864"
2015,"Динамика курса биткоина за все время: История Bitcoin с 2008 ...","great-world.ru/istoriya-bitkoina-grafik-kursa","http://great-world.ru/istoriya-bitkoina-grafik-kursa/"
2015,"Курс Bitcoin | Биткоин в России","биткоининфо.рф/kurs-bitkoin","http://xn--90aoaaitbee7a2a.xn--p1ai/kurs-bitkoin"
2015,"График биткоина онлайн на Bitcoincloudmining.center ...","bitcoincloudmining.center/grafik-bitkoina","https://bitcoincloudmining.center/grafik-bitkoina"
2015,"Динамика биткоина к доллару на 2018 анализ в цифрах","mining-bitcoin.ru","https://mining-bitcoin.ru/news/dinamika-bitcoina-k-dollaru"
2015,"Биткоин дебит карта - bitcointalk.org","bitcointalk.org/index.php?topic=915417.0","https://bitcointalk.org/index.php?topic=915417.0"
2015,"Bitcoin, BTC - Курс биткоина к доллару, гривне, рублю, евро","maanimo.com/cryptocurrency/bitcoin","https://maanimo.com/cryptocurrency/bitcoin"
2015,"Что такое биткоин простыми словами - Суть биткоина.","coinspot.io/beginners/chto-ta","https://coinspot.io/beginners/chto-takoe-bitcoin/"
2015,"биткоин 2015 - YouTube","www.youtube.com/watch?v=wVEs23BgE2I","https://www.youtube.com/watch?v=wVEs23BgE2I"
2015,"как заработать 1 биткоин в день 2015 - YouTube","www.youtube.com/watch?v=HqJO0JZd2w4","https://www.youtube.com/watch?v=HqJO0JZd2w4"
2015,"Сколько будет стоить биткоин: прогноз на 2020 год","prostocoin.com/blog/bitcoin2020","https://prostocoin.com/blog/bitcoin2020"
2015,"Биткоин - как заработать?: 2015","bitcoin-kak-zarabotat.blogspot.com/2015","http://bitcoin-kak-zarabotat.blogspot.com/2015/"
2015,"Биткоин будет включен в список валют Microsoft Excel 2016","bits.media/news/bitkoin-budet-vklyuchen-v-spisok...","https://bits.media/news/bitkoin-budet-vklyuchen-v-spisok-valyut-microsoft-excel-2016/"
2015,"Как Заработать 1 Биткоин 2015","мебель-стиль.рф/как заработать...","http://xn----9sblbqqcb4ck1if.xn--p1ai/%D0%BA%D0%B0%D0%BA%20%D0%B7%D0%B0%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D1%82%D1%8C%201%20%D0%B1%D0%B8%D1%82%D0%BA%D0%BE%D0%B8%D0%BD%202015"
2015,"Биткоин впервые с 2015 года стартовал с падения :: Технологии ...","www.rbc.ru/technology_and_media/02/01/2018/5a4...","https://www.rbc.ru/technology_and_media/02/01/2018/5a4aaec89a7947293ac3a864"
2015,"Новые онлайн биткоин казино 2017 - БиткоинКазино.РФ","cryptocoincasino.online","http://cryptocoincasino.online/"
2015,"Майнинг биткоинов и других криптовалют инструкция - скачать ...","coinspot.io/beginners/kak-dobyvayutsya-bitkojny","https://coinspot.io/beginners/kak-dobyvayutsya-bitkojny/"
2015,"Биткоин Купить Обмен на ... - bit-changer.net","bit-changer.net","https://bit-changer.net/"
2015,"Динамика курса биткоина за все время: История Bitcoin с 2008 ...","great-world.ru/istoriya-bitkoina-grafik-kursa","http://great-world.ru/istoriya-bitkoina-grafik-kursa/"
2015,"График биткоина к доллару - coinspot.io","coinspot.io/charts","https://coinspot.io/charts/"
2015,"Курс Bitcoin | Биткоин в России","биткоининфо.рф/kurs-bitkoin","http://xn--90aoaaitbee7a2a.xn--p1ai/kurs-bitkoin"
2015,"Что такое Bitcoin и криптовалюты?","bits.media/chto-takoe-bitcoin","https://bits.media/chto-takoe-bitcoin/"
2015,"Перспективы Биткоин кэш и прогноз на 2018 год | Bitflix","bitflix.ru","https://bitflix.ru/bitcoin-cash/"
2015,"«Биткоин-пузыри»: Краткая история – Bitcoin Review – Medium","medium.com/bitcoin-review/биткоин...","https://medium.com/bitcoin-review/%D0%B1%D0%B8%D1%82%D0%BA%D0%BE%D0%B8%D0%BD-%D0%BF%D1%83%D0%B7%D1%8B%D1%80%D0%B8-%D0%BA%D1%80%D0%B0%D1%82%D0%BA%D0%B0%D1%8F-%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F-a005336e70ab"
2015,"Курс Bitcoin | График курса | Биткоин в России","cryptorussia.ru/kurs-bitcoin","https://cryptorussia.ru/kurs-bitcoin"
2015,"Курс биткоина за все время от 2009 по 2017 год и интересные факты","www.credytoff.ru/kurs-bitkoina-za-vse-vremya","https://www.credytoff.ru/kurs-bitkoina-za-vse-vremya/"
2015,"exmo.me","exmo.me/ru/trade","https://exmo.me/ru/trade"
2015,"Что такое биткоин простыми словами - Суть биткоина.","coinspot.io/beginners/chto-ta","https://coinspot.io/beginners/chto-takoe-bitcoin/"
2016,"1 Биткоин (BTC) в Российских рублях (RUB)","pokur.su/btc/rub/1","https://pokur.su/btc/rub/1/"
2016,"Биткоин будет включен в список валют Microsoft Excel 2016","bits.media/news/bitkoin-budet-vklyuchen-v-spisok...","https://bits.media/news/bitkoin-budet-vklyuchen-v-spisok-valyut-microsoft-excel-2016/"
2016,"1 Биткоин (BTC) в Украинских гривнах (UAH)","pokur.su/btc/uah/1","https://pokur.su/btc/uah/1/"
2016,"Биткоин в Доллар США, Курс валют на сегодня BTC в USD ...","btc.ru.currencyrate.today/usd","http://btc.ru.currencyrate.today/usd"
2016,"Bitcoin, BTC - Курс биткоина к доллару, гривне, рублю, евро","maanimo.com/cryptocurrency/bitcoin","https://maanimo.com/cryptocurrency/bitcoin"
2016,"Динамика курса биткоина за все время: История Bitcoin с 2008 ...","great-world.ru/istoriya-bitkoina-grafik-kursa","http://great-world.ru/istoriya-bitkoina-grafik-kursa/"
2016,"International Reserve System","internationalreserve.finance/ru","https://internationalreserve.finance/ru/"
2016,"Биткоин FAQ - Bits.media - Русскоязычный ...","bits.media/faq","https://bits.media/faq/"
2016,"График биткоина к доллару - coinspot.io","coinspot.io/charts","https://coinspot.io/charts/"
2016,"Биткойн — Википедия","ru.wikipedia.org/wiki/Биткойн","https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%BA%D0%BE%D0%B9%D0%BD"
2016,"Лучшие биткоин краны-Топ 15 кранов 2016","clixportal.net/...bitkoin-kranyi-top-15-kranov-2016.html","http://clixportal.net/zarabotok-bitkoin-bez-vlozheniy/luchshie-bitkoin-kranyi-top-15-kranov-2016.html"
2016,"Биткоин будет включен в список валют Microsoft Excel 2016","bits.media/news/bitkoin-budet-vklyuchen-v-spisok...","https://bits.media/news/bitkoin-budet-vklyuchen-v-spisok-valyut-microsoft-excel-2016/"
2016,"Заработок Биткоин 2016 на Полном автомате . - YouTube","www.youtube.com/watch?v=Ja5Sfq8wM2U","https://www.youtube.com/watch?v=Ja5Sfq8wM2U"
2016,"Новые Биткоин-краны 2016 года - Xchange.cash","xchange.cash/news/Novye-Bitkoin-krany-2016-goda.html","https://xchange.cash/news/Novye-Bitkoin-krany-2016-goda.html"
2016,"Биткоин: перспективы 2016 года - Bits.media","bits.media/news/bitkoin-perspektivy-2016-goda","https://bits.media/news/bitkoin-perspektivy-2016-goda/"
2016,"Перспективы развития биткоина в 2016 году","24paybank.com/news/Perspektivy-razvitija...","https://24paybank.com/news/Perspektivy-razvitija-bitkoina-v-2016-godu.html"
2016,"Прогноз стоимости биткойна на 2016 год","bitnovosti.com/2015/11/12/bitcoin-price-2016","https://bitnovosti.com/2015/11/12/bitcoin-price-2016/"
2016,"Курс биткоина за все время от 2009 по 2017 год и интересные факты","www.credytoff.ru/kurs-bitkoina-za-vse-vremya","https://www.credytoff.ru/kurs-bitkoina-za-vse-vremya/"
2016,"Лучшие биткоин краны - Топ 10 кранов Bitcoin 2016","bitcoinpaw.com/bitcoin-krany","http://bitcoinpaw.com/bitcoin-krany/"
2016,"Биткойн — Википедия","ru.wikipedia.org/wiki/Биткойн","https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%BA%D0%BE%D0%B9%D0%BD"
2016,"1 Биткоин (BTC) в Российских рублях (RUB)","pokur.su/btc/rub/1","https://pokur.su/btc/rub/1/"
2016,"Биткоин будет включен в список валют Microsoft Excel 2016","bits.media/news/bitkoin-budet-vklyuchen-v-spisok...","https://bits.media/news/bitkoin-budet-vklyuchen-v-spisok-valyut-microsoft-excel-2016/"
2016,"1 Биткоин (BTC) в Украинских гривнах (UAH)","pokur.su/btc/uah/1","https://pokur.su/btc/uah/1/"
2016,"График биткоина к доллару - coinspot.io","coinspot.io/charts","https://coinspot.io/charts/"
2016,"биткоина/Bitcoin График курсов (BTC/USD) | CoinGecko","www.coingecko.com/ru/динамика_цен...","https://www.coingecko.com/ru/%D0%B4%D0%B8%D0%BD%D0%B0%D0%BC%D0%B8%D0%BA%D0%B0_%D1%86%D0%B5%D0%BD/%D0%B1%D0%B8%D1%82%D0%BA%D0%BE%D0%B8%D0%BD%D0%B0/usd"
2016,"2016 станет решающим годом для Биткоина в России","bits.media/news/2016-stanet-reshayushchim-godom...","https://bits.media/news/2016-stanet-reshayushchim-godom-dlya-bitkoina-v-rossii/"
2016,"Сколько сатошей в 1 биткоин - 24paybank.com","24paybank.com/faq/Skolko-satoshej-v-1-bitkoin.html","https://24paybank.com/faq/Skolko-satoshej-v-1-bitkoin.html"
2016,"Курс Bitcoin | Биткоин в России","биткоининфо.рф/kurs-bitkoin","http://xn--90aoaaitbee7a2a.xn--p1ai/kurs-bitkoin"
2016,"Bitcoin, BTC - Курс биткоина к доллару, гривне, рублю, евро","maanimo.com/cryptocurrency/bitcoin","https://maanimo.com/cryptocurrency/bitcoin"
2016,"Динамика курса биткоина за все время: История Bitcoin с 2008 ...","great-world.ru/istoriya-bitkoina-grafik-kursa","http://great-world.ru/istoriya-bitkoina-grafik-kursa/"
2017,"Где заработать биткоины – новые и лучшие биткоин-краны 2017","mixinvestor.com/gde-zarabotat-bitkoiny-novye-i...","https://mixinvestor.com/gde-zarabotat-bitkoiny-novye-i-luchshie-bitcoin-krani"
2017,"ТОП-5 лучших Биткоин кошельков в 2017 году","zarabotays.ru","http://zarabotays.ru/bitkoin/luchshie-bitkoin-koshelki-2017.html"
2017,"купить биткоин 2017 - YouTube","www.youtube.com/watch?v=xGcJfgcwCd0","https://www.youtube.com/watch?v=xGcJfgcwCd0"
2017,"Биткоин 2017 в сентябре хоронили каждый день","mining-bitcoin.ru","https://mining-bitcoin.ru/news/bitcoin-2017"
2017,"Курс биткоина график за все время: динамика с 2008 по 2017 год","coinnet.ru/obzory/grafik-kursa-bitkoina.html","https://coinnet.ru/obzory/grafik-kursa-bitkoina.html"
2017,"Курс биткоина за все время от 2009 по 2017 год и интересные факты","www.credytoff.ru/kurs-bitkoina-za-vse-vremya","https://www.credytoff.ru/kurs-bitkoina-za-vse-vremya/"
2017,"Bitcoin прогноз курса на сегодня 25 декабря 2017 года ...","bitcoin-zone.ru/...kursa-bitkoina-na-25-dekabrya-2017-goda","http://bitcoin-zone.ru/prognoz-kursa-bitkoina-na-25-dekabrya-2017-goda/"
2017,"К концу 2018 Биткоин будет стоить 50 тыс, а BCH - 20 тыс ...","bitexpert.io","https://bitexpert.io/news/k-kontsu-2018-bitkoin-budet-stoit-50-tys-a-bch-20-tys-bitkoin-kesh-zhdet-rost-v-10-raz/"
2017,"Сколько будет стоить биткоин к концу 2017 года? Ваш прогноз?","hyipstat.top/blog.php?id_n=1152","http://hyipstat.top/blog.php?id_n=1152"
2017,"Цена биткоин в 2018 году. Прогнозы экспертов | Bit.news","bit.news/interesnoe/tsena-bitkoin-v-2018-godu...","https://bit.news/interesnoe/tsena-bitkoin-v-2018-godu-prognozy-ekspertov"
2017,"Где заработать биткоины – новые и лучшие биткоин-краны 2017","mixinvestor.com/gde-zarabotat-bitkoiny-novye-i...","https://mixinvestor.com/gde-zarabotat-bitkoiny-novye-i-luchshie-bitcoin-krani"
2017,"Биткоин краны 2017 которые платят на кошелек","x-inside.ru","https://x-inside.ru/bitkoin-krany-2017-kotorye-platyat/"
2017,"ТОП-5 лучших Биткоин кошельков в 2017 году","zarabotays.ru","http://zarabotays.ru/bitkoin/luchshie-bitkoin-koshelki-2017.html"
2017,"Bitcoin прогноз курса на сегодня 25 декабря 2017 года ...","bitcoin-zone.ru/...kursa-bitkoina-na-25-dekabrya-2017-goda","http://bitcoin-zone.ru/prognoz-kursa-bitkoina-na-25-dekabrya-2017-goda/"
2017,"Прогноз цены Биткоина на 2017 год от 11 лидеров индустрии","coinspot.io/news/breaking-news/prognoz-ceny...","https://coinspot.io/news/breaking-news/prognoz-ceny-bitkoina-na-2017-god-ot-11-liderov-industrii/"
2017,"Биткоин сошел с ума в 2017 году: вот что произошло, когда ...","logincasino.com/article/bitkoin-soshel-s-uma-v...","https://logincasino.com/article/bitkoin-soshel-s-uma-v-2017-godu-vot-chto-proizoshlo-kogda-valyta-virosla-bolee-chem-na-1000-22033.html"
2017,"Биткоин прогноз на 2017 - YouTube","www.youtube.com/watch?v=F0ntj5aQJPY","https://www.youtube.com/watch?v=F0ntj5aQJPY"
2017,"Курс биткоина график за все время: динамика с 2008 по 2017 год","coinnet.ru/obzory/grafik-kursa-bitkoina.html","https://coinnet.ru/obzory/grafik-kursa-bitkoina.html"
2017,"Биткоин краны - заработок ... - X-INSIDE.ru","x-inside.ru/bitkoin-krany","https://x-inside.ru/bitkoin-krany/"
2017,"Bits.media - Русскоязычный информационный сайт о Биткоин и ...","bits.media","https://bits.media/"
2017,"График курса Bitcoin (Биткоин) за 2017 год | КУРСЫ КРИПТОВАЛЮТ","cryptorate.ru/grafik-kursa-nem-za-2017-god-2","https://cryptorate.ru/grafik-kursa-nem-za-2017-god-2/"
2017,"Динамика курса биткоина с графиком - Курс биткоина к рублю и ...","coinspot.io/charts","https://coinspot.io/charts/"
2017,"Bitcoin, BTC - Курс биткоина к доллару, гривне, рублю, евро","maanimo.com/cryptocurrency/bitcoin","https://maanimo.com/cryptocurrency/bitcoin"
2017,"Еще один прогноз: к концу 2018 года биткоин будет стоить $60 000","bits.media/news/eshche-odin-prognoz-k-kontsu...","https://bits.media/news/eshche-odin-prognoz-k-kontsu-2018-goda-bitkoin-budet-stoit-60-000/"
2017,"К концу 2018 Биткоин будет стоить 50 тыс, а BCH - 20 тыс ...","bitexpert.io","https://bitexpert.io/news/k-kontsu-2018-bitkoin-budet-stoit-50-tys-a-bch-20-tys-bitkoin-kesh-zhdet-rost-v-10-raz/"
2017,"Где заработать биткоины – новые и лучшие биткоин-краны 2017","mixinvestor.com/gde-zarabotat-bitkoiny-novye-i...","https://mixinvestor.com/gde-zarabotat-bitkoiny-novye-i-luchshie-bitcoin-krani"
2017,"1 Биткоин (BTC) в Российских рублях (RUB)","pokur.su/btc/rub/1","https://pokur.su/btc/rub/1/"
2017,"Биткоин в 2018 году: будет ли продолжаться прежний рост","mining-bitcoin.ru","https://mining-bitcoin.ru/news/bitcoin-v-2018"
2017,"Цена биткоин в 2018 году. Прогнозы экспертов | Bit.news","bit.news/interesnoe/tsena-bitkoin-v-2018-godu...","https://bit.news/interesnoe/tsena-bitkoin-v-2018-godu-prognozy-ekspertov"
2017,"Курс Bitcoin | График курса | Биткоин в России","cryptorussia.ru/kurs-bitcoin","https://cryptorussia.ru/kurs-bitcoin"
2018,"Биткоин 2018: Подготовьтесь к веселым горкам | BitExpert: все ...","bitexpert.io","https://bitexpert.io/news/bitkoin-2018-podgotovtes-k-veselym-gorkam/"
2018,"Еще один прогноз: к концу 2018 года биткоин будет стоить $60 000","bits.media/news/eshche-odin-prognoz-k-kontsu...","https://bits.media/news/eshche-odin-prognoz-k-kontsu-2018-goda-bitkoin-budet-stoit-60-000/"
2018,"К концу 2018 Биткоин будет стоить 50 тыс, а BCH - 20 тыс ...","bitexpert.io","https://bitexpert.io/news/k-kontsu-2018-bitkoin-budet-stoit-50-tys-a-bch-20-tys-bitkoin-kesh-zhdet-rost-v-10-raz/"
2018,"Биткоин 2018 - tutdenegki.com","tutdenegki.com/bitkoin-2018","http://tutdenegki.com/bitkoin-2018"
